Country,Language,Capital,Population,O+,A+,B+,AB+,O-,A-,B-,AB-
Albania,Albanian,Tirana,"2,854,191",34.1,31.2,14.5,5.2,6.0,5.5,2.6,0.9
Algeria,Arabic,Algiers,"43,053,054",40.0,30.0,15.0,4.25,6.6,2.3,1.1,0.75
Argentina,Spanish,Buenos Aires,"44,938,712",48.9,31.54,8.0,2.45,4.9,3.16,0.8,0.25
Armenia,Armenian,Yerevan,"2,957,731",29.0,46.3,12.0,5.6,2.0,3.7,1.0,0.4
Australia,None,Canberra,"25,766,605",38.0,32.0,12.0,4.0,7.0,6.0,2.0,1.0
Austria,German,Vienna,"8,877,067",30.0,37.0,12.0,5.0,6.0,7.0,2.0,0.45
Azerbaijan,Azerbaijani language,Baku,"10,023,318",29.8,30.0,21.1,9.0,3.3,3.4,2.4,1.0
Bahrain,Arabic,Manama,"1,501,635",48.48,19.35,22.61,3.67,3.27,1.33,1.04,0.25
Bangladesh,Bengali,Dhaka,"167,310,838",29.21,26.3,33.12,9.59,0.53,0.48,0.6,0.17
Belarus,Russian,Minsk,"9,466,856",32.3,30.6,15.3,6.8,5.7,5.4,2.7,1.2
Belgium,French,City of Brussels,"11,484,055",38.0,34.0,8.5,4.0,7.0,6.0,1.5,1.0
Bhutan,Dzongkha,Thimphu,"727,145",38.15,29.27,23.86,8.41,0.06,0.04,0.04,0.01
Bolivia,Spanish,Sucre,"11,513,100",51.53,29.45,10.11,1.15,4.39,2.73,0.54,0.1
Bosnia and Herzegovina,Bosnian,Sarajevo,"3,301,000",31.0,36.0,12.0,6.0,5.0,7.0,2.0,1.0
Brazil,Portuguese,Bras,"212,559,417",36.0,34.0,8.0,2.5,9.0,8.0,2.0,0.5
Bulgaria,Bulgarian,Sofia,"6,975,761",28.0,37.4,12.8,6.8,5.0,6.6,2.2,1.2
Burkina Faso,French,Ouagadougou,"20,321,378",39.94,20.79,26.34,5.17,3.36,1.75,2.22,0.43
Cambodia,Khmer language,Phnom Penh,"16,486,542",46.7,27.2,18.5,4.9,1.3,0.8,0.5,0.1
Cameroon,French,Yaound,"25,876,380",46.83,24.15,21.06,4.29,1.79,0.92,0.8,0.16
Canada,French,Ottawa,"36,991,981",39.0,36.0,7.6,2.5,7.0,6.0,1.4,0.5
Chile,Spanish,Santiago,"18,952,038",56.62,27.16,8.78,1.9,3.29,1.63,0.49,0.13
China,Standard Chinese,Beijing,"1,397,715,000",48.0,28.0,19.0,5.6,0.3,0.4,0.3,0.1
Colombia,Spanish,Bogot,"50,339,443",56.3,26.11,7.28,1.47,5.13,2.7,0.7,0.31
Costa Rica,Spanish,San Jos,"5,047,561",49.7,28.5,12.4,3.0,3.4,1.9,0.9,0.2
Croatia,Croatian,Zagreb,"4,067,500",29.0,36.0,15.0,5.0,5.0,6.0,3.0,1.0
Cuba,Spanish,Havana,"11,333,483",45.8,33.5,10.2,2.9,3.6,2.8,1.0,0.2
Cyprus,Greek,Nicosia,"1,198,575",35.22,40.35,11.11,4.72,3.85,3.48,0.87,0.4
Czech Republic,Czech,Prague,"10,669,709",27.0,36.0,15.0,7.0,5.0,6.0,3.0,1.0
Democratic Republic of the Congo,French,Kinshasa,"86,790,567",59.5,21.3,15.2,2.4,1.0,0.3,0.2,0.1
Denmark,Danish,Copenhagen,"5,818,553",35.0,37.0,8.0,4.0,6.0,7.0,2.0,1.0
Dominican Republic,Spanish,Santo Domingo,"10,738,958",46.2,26.4,16.9,3.1,3.7,2.1,1.4,0.2
Ecuador,Spanish,Quito,"17,373,662",75.0,14.0,7.1,0.5,2.38,0.7,0.3,0.02
Egypt,Modern Standard Arabic,Cairo,"100,388,073",31.94,35.12,23.12,9.74,,,,
El Salvador,Spanish,San Salvador,"6,453,553",62.0,23.0,11.0,1.0,1.0,1.0,0.7,0.3
Estonia,Estonian,Tallinn,"1,331,824",29.5,30.8,20.7,6.3,4.3,4.5,3.0,0.9
Ethiopia,Amharic,Addis Ababa,"112,078,730",39.0,28.0,21.0,5.0,3.0,2.0,1.0,1.0
Fiji,Fiji Hindi,Suva,"889,953",43.0,33.3,16.5,4.8,1.0,0.7,0.5,0.2
Finland,Swedish,Helsinki,"5,520,314",28.0,35.0,16.0,7.0,5.0,6.0,2.0,1.0
France,French,Paris,"67,059,887",36.5,38.2,7.7,2.5,6.5,6.8,1.4,0.4
Gabon,French,Libreville,"2,172,579",57.55,20.52,17.19,2.54,1.35,0.48,0.41,0.06
Georgia,Georgian,Tbilisi,"3,720,382",34.8,32.3,11.9,6.0,6.2,5.7,2.1,1.0
Germany,German,Berlin,"83,132,799",35.0,37.0,9.0,4.0,6.0,6.0,2.0,1.0
Ghana,English,Accra,"30,792,608",53.8,17.6,18.3,2.8,4.5,1.3,1.3,0.2
Greece,Greek,Athens,"10,716,322",37.8,32.2,11.0,4.0,6.6,5.7,2.0,0.7
Guinea,French,Conakry,"12,771,246",46.88,21.64,22.86,4.52,2.0,0.9,1.0,0.2
Honduras,Spanish,Tegucigalpa,"9,746,117",57.5,27.0,7.8,2.5,2.7,1.7,0.6,0.2
Hungary,Hungarian,Budapest,"9,769,949",27.0,33.0,16.0,8.0,5.0,7.0,3.0,1.0
Iceland,Icelandic,Reykjav,"361,313",46.8,27.2,9.0,2.0,8.2,4.8,1.6,0.4
India,Hindi,New Delhi,"1,366,417,754",28.0,25.8,32.0,14.7,2.03,1.36,2.0,0.48
Indonesia,Indonesian,Jakarta,"270,203,917",36.82,25.87,28.85,7.96,0.18,0.13,0.15,0.04
Iran,Persian,Tehran,"82,913,906",33.5,27.0,22.2,7.0,4.0,3.0,2.5,0.8
Iraq,Arabic,Baghdad,"39,309,783",25.5,25.0,32.6,7.4,3.6,2.7,2.7,0.9
Israel,Hebrew,Jerusalem,"9,053,300",32.0,34.0,17.0,7.0,3.0,4.0,2.0,1.0
Italy,Italian,Rome,"60,297,396",39.0,36.0,7.5,2.5,7.0,6.0,1.5,0.5
Ivory Coast,French,Yamoussoukro,"25,716,544",47.24,20.19,21.7,3.82,3.73,1.54,1.48,0.3
Jamaica,Jamaican English,"Kingston, Jamaica","2,948,279",47.0,23.0,20.0,3.0,3.5,2.0,1.0,0.5
Japan,None,Tokyo,"126,226,568",29.9,39.8,19.9,9.9,0.15,0.2,0.1,0.05
Jordan,Arabic,Amman,"10,101,694",33.03,32.86,16.56,6.28,4.4,3.97,2.06,0.84
Kazakhstan,Russian,Astana,"18,513,930",30.7,29.8,24.2,8.3,2.3,2.2,1.8,0.7
Kenya,Swahili,Nairobi,"52,573,973",45.6,25.2,21.28,4.2,1.8,1.0,0.9,0.02
Laos,Lao,Vientiane,"7,169,455",37.52,19.73,35.36,6.85,0.2,0.1,0.2,0.05
Latvia,Latvian,Riga,"1,912,789",30.6,31.0,17.0,6.0,5.4,6.0,3.0,1.0
Lebanon,Arabic,Beirut,"6,855,713",38.4,32.3,9.5,3.2,7.7,6.5,1.7,0.7
Libya,Arabic,,"6,777,452",42.64,28.86,11.19,4.5,6.26,4.24,1.64,0.67
Liechtenstein,German,Vaduz,"38,019",34.0,37.0,10.0,4.0,6.0,6.5,1.8,0.7
Lithuania,Lithuanian,Vilnius,"2,786,844",36.0,33.0,11.0,4.0,7.0,6.0,2.0,1.0
Malaysia,Malaysian language,Kuala Lumpur,"32,447,385",34.32,30.35,27.37,7.46,0.17,0.15,0.14,0.04
Malta,Maltese,Valletta,"502,653",38.0,41.0,7.0,3.0,5.0,4.5,1.0,0.5
Mauritania,Arabic,Nouakchott,"4,525,696",46.3,26.68,17.47,3.85,2.8,1.6,1.1,0.2
Mauritius,French,Port Louis,"1,265,711",38.3,26.0,25.0,6.7,1.7,1.0,1.0,0.3
Mexico,None,Mexico City,"126,014,024",59.09,26.23,8.53,1.73,2.73,1.21,0.4,0.08
Moldova,Romanian,Chi,"2,657,637",28.5,31.8,17.6,7.0,5.0,6.0,3.0,1.1
Mongolia,Mongolian,Ulaanbaatar,"3,225,167",38.45,22.89,29.93,7.83,0.35,0.21,0.27,0.07
Morocco,Arabic,Rabat,"36,910,560",42.3,40.8,14.0,4.0,4.5,3.1,1.5,0.4
Myanmar,Burmese,Naypyidaw,"54,045,420",35.7,23.8,32.7,6.95,0.3,0.2,0.3,0.05
Namibia,English,Windhoek,"2,494,530",50.58,20.49,20.21,1.02,4.22,1.71,1.69,0.08
Nepal,Nepali,Kathmandu,"28,608,710",35.2,36.3,27.1,2.6,0.3,0.2,0.2,0.1
Netherlands,Dutch,Amsterdam,"17,332,850",38.2,36.6,7.7,2.5,6.8,6.4,1.3,0.5
New Zealand,English,Wellington,"4,841,000",38.0,32.0,9.0,3.0,9.0,6.0,2.0,1.0
Nicaragua,Spanish,Managua,"6,545,502",62.0,20.0,11.0,4.0,1.0,1.0,0.7,0.3
Nigeria,English,Abuja,"200,963,599",50.23,21.61,19.59,3.47,2.7,1.16,1.05,0.19
North Korea,Korean,Pyongyang,"25,666,161",27.15,31.08,30.15,11.32,0.08,0.1,0.1,0.03
North Macedonia,Macedonian,Skopje,"1,836,713",30.0,34.0,15.0,6.0,5.0,6.0,3.0,1.0
Norway,Norwegian,Oslo,"5,347,896",33.2,41.6,6.8,3.4,5.8,7.4,1.2,0.6
Pakistan,Urdu,Islamabad,"216,565,318",30.04,21.53,30.24,8.83,3.1,2.22,3.13,0.91
Papua New Guinea,Tok Pisin,Port Moresby,"8,776,109",48.0,37.2,9.6,2.8,1.0,0.8,0.4,0.2
Paraguay,Spanish,Asunci,"7,044,636",56.07,28.32,4.72,1.38,5.89,2.97,0.49,0.15
Peru,Spanish,Lima,"32,510,453",70.0,18.4,7.8,1.6,1.4,0.5,0.28,0.02
Philippines,English,Manila,"108,116,615",45.9,22.9,24.9,5.97,0.1,0.1,0.1,0.03
Poland,Polish,Warsaw,"37,970,874",31.0,32.0,15.0,7.0,6.0,6.0,2.0,1.0
Portugal,Portuguese,Lisbon,"10,269,417",36.2,39.8,6.6,2.9,6.1,6.8,1.1,0.5
Romania,Romanian,Bucharest,"19,356,544",28.0,37.0,14.0,7.0,5.0,6.0,2.0,1.0
Russia,Russian,Moscow,"144,373,535",46.0,31.0,9.0,2.1,6.0,4.0,1.0,0.9
Saudi Arabia,Arabic,Riyadh,"34,268,528",47.8,23.9,17.0,4.0,4.0,2.0,1.0,0.3
Serbia,Serbian,Belgrade,"6,944,975",31.92,35.28,12.6,4.2,6.08,6.72,2.4,0.8
Singapore,Malay,,"5,703,569",44.7,23.9,24.5,5.6,0.6,0.3,0.3,0.1
Slovakia,Slovak,Bratislava,"5,454,073",27.2,35.7,15.3,6.8,4.8,6.3,2.7,1.2
Slovenia,Slovene language,Ljubljana,"2,087,946",31.0,33.0,12.0,6.0,7.0,7.0,3.0,1.0
Somalia,Arabic,Mogadishu,"15,442,905",52.8,19.36,12.32,3.52,7.2,2.64,1.68,0.48
South Africa,Afrikaans,Pretoria,"58,558,270",39.0,32.0,12.0,3.0,6.0,5.0,2.0,1.0
South Korea,Korean,Seoul,"51,709,098",26.8,34.4,27.0,14.4,0.1,0.1,0.1,0.1
Spain,Spanish,Madrid,"47,076,781",35.0,36.0,8.0,2.5,9.0,7.0,2.0,0.5
Sri Lanka,Tamil,Colombo,"21,803,000",43.42,21.0,25.78,5.13,2.12,1.04,1.25,0.26
Sudan,Arabic,Khartoum,"42,813,238",48.0,27.7,15.2,2.8,3.5,1.8,0.8,0.2
Sweden,Swedish,Stockholm,"10,285,453",32.0,37.0,10.0,5.0,6.0,7.0,2.0,1.0
Switzerland,German,Bern,"8,574,832",35.0,38.0,8.0,4.0,6.0,7.0,1.0,1.0
Syria,Arabic,Damascus,"17,070,135",43.0,30.0,14.0,3.7,5.0,3.0,1.0,0.3
Thailand,Thai,Bangkok,"69,625,582",40.8,16.9,36.8,4.97,0.2,0.1,0.2,0.03
Tunisia,Arabic,Tunis,"11,694,719",41.86,28.21,16.38,4.55,4.14,2.79,1.62,0.45
Turkey,Turkish,Ankara,"83,429,615",29.8,37.8,14.2,7.2,3.9,4.7,1.6,0.8
Uganda,Swahili,Kampala,"44,269,594",49.29,24.11,20.29,4.41,1.01,0.49,0.41,0.09
Ukraine,Ukrainian,Kyiv,"44,385,155",32.0,34.0,15.0,5.0,5.0,6.0,2.0,1.0
United Arab Emirates,Arabic,Abu Dhabi,"9,770,529",44.1,21.9,20.9,4.3,4.3,2.1,2.0,0.4
United Kingdom,English,London,"66,834,405",35.0,30.0,9.0,2.0,13.0,8.0,2.0,1.0
United States,None,"Washington, D.C.","328,239,523",37.4,35.7,8.5,3.4,6.6,6.3,1.5,0.6
Uzbekistan,Uzbek,Tashkent,"33,580,650",29.42,30.93,24.98,9.27,1.68,1.77,1.42,0.53
Venezuela,Spanish,Caracas,"28,515,829",58.3,28.2,5.6,1.9,3.7,1.8,0.4,0.1
Vietnam,Vietnamese,Hanoi,"96,462,106",41.7,21.9,30.8,4.98,0.3,0.1,0.2,0.02
Yemen,Arabic,Sanaa,"29,161,922",47.84,27.5,15.32,2.14,3.66,2.1,1.17,0.16
Zimbabwe,Shona,Harare,"14,645,468",63.3,18.5,14.6,0.99,1.7,0.5,0.4,0.01
